1827.608000,0.252888,-2.069698,-1.086348,-1.496975,1.233016,1.516204,-0.298533,0.197946,0.403510,-0.597637,-0.290832,0.785597,-2.115520,9.167118,6.034484,-0.131764,-0.442773,0.499823,-4.998155,0.351032,-8.075628,-0.594325,-1.989927,0.126518
1827.618000,0.249853,-2.067721,-1.082234,-1.503062,1.230144,1.524148,-0.296866,0.200622,0.407564,-0.593495,-0.290380,0.786271,-2.202510,9.043856,5.725960,-0.111262,-0.445381,0.476270,0.911037,2.401512,-2.451355,-0.813641,0.819405,-1.079351
1827.628000,0.246814,-2.065692,-1.078183,-1.508962,1.227134,1.531975,-0.296728,0.201878,0.410453,-0.584514,-0.294782,0.782979,-1.719704,8.468065,5.332532,-0.134125,-0.356126,0.493196,1.756797,1.092317,-2.606258,-1.014944,0.315447,-0.062461
1827.638000,0.243905,-2.063645,-1.074185,-1.514705,1.224287,1.539672,-0.289743,0.194598,0.400001,-0.577476,-0.282093,0.774831,-1.938709,8.520424,5.541276,-0.197974,-0.438624,0.451146,-3.906467,3.414394,-7.562132,-1.013640,-2.562735,0.438030
1827.648000,0.241026,-2.061702,-1.070184,-1.520350,1.221425,1.547348,-0.289144,0.194746,0.397295,-0.573585,-0.285985,0.766163,-1.577106,8.365340,5.297169,-0.150504,-0.333518,0.437743,1.068411,0.034462,-2.571511,-0.849812,-0.114764,-0.478995
1827.658000,0.238156,-2.059671,-1.066208,-1.526045,1.218554,1.554978,-0.283939,0.193185,0.390255,-0.569437,-0.277017,0.752415,-1.719858,8.082505,5.349345,-0.154304,-0.397681,0.415945,-7.016502,1.511710,-3.798689,-0.681828,-2.510562,0.133323
1827.668000,0.235352,-2.057753,-1.062220,-1.531710,1.215800,1.562458,-0.283362,0.190958,0.385733,-0.564573,-0.272091,0.738576,-1.366001,7.860662,5.286235,-0.120233,-0.398554,0.446491,-8.652639,-2.918602,-2.299319,0.642053,-2.385695,0.660561
1827.680000,0.231985,-2.055449,-1.057645,-1.538504,1.212530,1.571161,-0.276285,0.185636,0.378065,-0.548631,-0.274172,0.727774,-1.617676,8.001176,5.294121,-0.099740,-0.315875,0.462191,-5.915657,0.313002,-2.217667,-1.199202,-1.597351,0.352042
1827.690000,0.229286,-2.053568,-1.053885,-1.543912,1.209883,1.578349,-0.274074,0.183064,0.370803,-0.536450,-0.261054,0.721684,-1.291831,7.898535,5.433201,-0.123875,-0.428939,0.453175,-11.205898,-4.003968,-5.450605,1.048434,-3.599098,1.293756
1827.700000,0.226574,-2.051738,-1.050160,-1.549212,1.207222,1.585530,-0.267635,0.183749,0.367916,-0.530933,-0.268803,0.714005,-1.623094,7.289364,5.233063,-0.176628,-0.334786,0.382428,-20.951142,0.437286,-3.552209,-0.928256,-6.852525,1.390234
